first name,gender,race
bryndyn,m,white
brynn,f,white
bryon,m,black
bryon,m,white
bryson,m,black
bryton,m,black
bubba,m,white
bubber,m,black
buck,m,white
buckie,m,white
bud,m,white
buddie,m,white
buddy,m,black
buddy,m,white
budry,m,black
budwin,m,white
buell,m,white
buford,m,white
bufus,m,black
bulfrano,m,hispanic
bunnie,m,black
bunnie,m,white
bunny,f,white
burall,m,black
burel,m,black
burgess,m,black
burie,m,black
buril,m,white
burke,m,black
burkhard,m,white
burkley,m,black
burley,m,black
burlie,m,white
burnadette,f,white
burnat,m,black
burnell,m,black
burnett,m,black
burnice,m,black
burns,m,black
burt,m,black
burt,m,white
burton,m,black
burwell,m,white
buster,m,black
buster,m,white
butler,m,black
byanca,f,black
byron,m,black
byron,m,hispanic
byron,m,white
byrone,m,black
c,m,white
c.,m,black
c.r.,m,white
c.s,m,black
cabrales,m,white
cabrera,m,hispanic
cabrin,m,white
cachet,m,black
cadari,m,black
cadarryl,m,black
cadet,m,black
cadwaller,m,black
caed,m,black
caesar,m,black
caesar,m,hispanic
cain,m,black
caithlyn,m,black
caitlin,f,white
cal,m,black
calavito,m,black
calbren,m,white
cale,m,black
cale,m,white
caleb,m,black
caleb,m,white
caleem,m,black
calen,m,black
calise,m,black
calixte,m,black
calixto,m,hispanic
calixtro,m,white
callagous,m,black
calletano,m,hispanic
callisto,m,black
callon,m,black
callum,m,white
calon,m,white
calton,m,black
calva,m,black
calvert,m,white
calvester,m,black
calvin,m,black
calvin,m,hispanic
calvin,m,white
camelia,f,white
camelot,m,white
cameo,f,white
cameron,f,white
cameron,m,black
cameron,m,hispanic
cameron,m,white
cameshia,f,black
camie,f,white
camille,f,black
camille,f,white
camillo,m,white
camilo,m,white
cammie,f,white
camrin,m,white
camron,m,black
camry,m,black
canace,f,white
canard,m,black
candace,f,black
candace,f,white
candance,f,white
candelario,m,hispanic
candi,f,white
candice,f,white
candido,m,black
candido,m,white
candy,f,white
cane,m,white
canealus,m,black
canel,m,black
canton,m,black
cantrall,m,black
cantrell,m,black
canvas,f,black
capell,m,black
capems,m,black
capers,m,black
capra,m,black
capus,m,black
cara,f,white
carcellous,m,black
cardal,m,black
cardel,m,black
cardell,m,black
cardorius,m,black
